template,setup,algorithm,n_edges_target,mean_pairwise_jaccard,std_pairwise_jaccard,n
plural_0,ceap_20,CEAP,10,1.0,0.0,6
plural_0,ceap_20,CEAP,507,0.8321294138621735,0.03644401328480187,6
plural_0,ceap_20,CEAP,1005,0.7635549888657777,0.03527967978598465,6
plural_0,ceap_20,CEAP,1502,0.7248496537081222,0.03273416891391872,6
plural_0,ceap_20,CEAP,2000,0.7318004253107454,0.03563807312444464,6
plural_1,ceap_20,CEAP,10,1.0,0.0,6
plural_1,ceap_20,CEAP,507,0.7737600513855348,0.028313983207589263,6
plural_1,ceap_20,CEAP,1005,0.701599371450259,0.026215477153479577,6
plural_1,ceap_20,CEAP,1502,0.6668940185218042,0.029431452533519687,6
plural_1,ceap_20,CEAP,2000,0.6511167954464503,0.02222934211785913,6
plural_2,ceap_20,CEAP,10,0.5,0.5,6
plural_2,ceap_20,CEAP,507,0.6698081352985757,0.02981678992448824,6
plural_2,ceap_20,CEAP,1005,0.613599687979386,0.01863483815930193,6
plural_2,ceap_20,CEAP,1502,0.6150361818259767,0.02253157283437521,6
plural_2,ceap_20,CEAP,2000,0.6341538922670237,0.011624552807710919,6
plural_3,ceap_20,CEAP,10,0.3333333333333333,0.4714045207910317,6
plural_3,ceap_20,CEAP,507,0.5342979183328442,0.031157673523994747,6
plural_3,ceap_20,CEAP,1005,0.5352882516810987,0.054801550194922215,6
plural_3,ceap_20,CEAP,1502,0.5296676697553601,0.049800456136075005,6
plural_3,ceap_20,CEAP,2000,0.5355933963112146,0.05153952886935414,6
plural_4,ceap_20,CEAP,10,0.3333333333333333,0.372677996249965,6
plural_4,ceap_20,CEAP,507,0.6437899383078772,0.048357864906982045,6
plural_4,ceap_20,CEAP,1005,0.5810762755227056,0.04517852156659402,6
plural_4,ceap_20,CEAP,1502,0.5766185408060831,0.04543860970382903,6
plural_4,ceap_20,CEAP,2000,0.5678190629830179,0.04624326119984938,6
plural_5,ceap_20,CEAP,10,1.0,0.0,6
plural_5,ceap_20,CEAP,507,0.8679784292047388,0.021583758896161865,6
plural_5,ceap_20,CEAP,1005,0.8137178666001451,0.020094662027386224,6
plural_5,ceap_20,CEAP,1502,0.799306906692836,0.025861799516782573,6
plural_5,ceap_20,CEAP,2000,0.7865866198412695,0.024501277752404668,6
plural_6,ceap_20,CEAP,10,1.0,0.0,6
plural_6,ceap_20,CEAP,507,0.6122640471397567,0.03136459380210424,6
plural_6,ceap_20,CEAP,1005,0.5927028813836523,0.040721875507793444,6
plural_6,ceap_20,CEAP,1502,0.5731838228027618,0.03330580452134273,6
plural_6,ceap_20,CEAP,2000,0.5915857822869772,0.030691940604495208,6
plural_7,ceap_20,CEAP,10,0.3333333333333333,0.372677996249965,6
plural_7,ceap_20,CEAP,507,0.4893713703686588,0.01668616936408445,6
plural_7,ceap_20,CEAP,1005,0.4692093203686713,0.02595224290812816,6
plural_7,ceap_20,CEAP,1502,0.4805864523946492,0.021271940946018888,6
plural_7,ceap_20,CEAP,2000,0.4908051175067973,0.021263410409385893,6
plural_8,ceap_20,CEAP,10,1.0,0.0,6
plural_8,ceap_20,CEAP,507,0.8903253707656046,0.01810725616186698,6
plural_8,ceap_20,CEAP,1005,0.8878679994662995,0.018452383809821324,6
