template,setup,algorithm,n_edges_target,mean_unfaithfulness,std_unfaithfulness,n
plural_0,ceap_20,CEAP,10,1.0,0.0,4
plural_0,ceap_20,CEAP,507,0.2978025807240712,0.05941424776303162,4
plural_0,ceap_20,CEAP,1005,0.2631192123783486,0.07977075937770772,4
plural_0,ceap_20,CEAP,1502,0.26863884792796205,0.06700408791501895,4
plural_0,ceap_20,CEAP,2000,0.2649696025092687,0.06307655307261947,4
plural_1,ceap_20,CEAP,10,1.0,0.0,4
plural_1,ceap_20,CEAP,507,0.5840284273238672,0.42659308638928756,4
plural_1,ceap_20,CEAP,1005,0.6235847124880729,0.49047972943787116,4
plural_1,ceap_20,CEAP,1502,0.5620998309384431,0.4294116001426616,4
plural_1,ceap_20,CEAP,2000,0.5150083345803991,0.3825633156440677,4
plural_2,ceap_20,CEAP,10,1.0021406433190263,0.003707702989436526,4
plural_2,ceap_20,CEAP,507,0.08684687616214866,0.023551030941294814,4
plural_2,ceap_20,CEAP,1005,0.09729861780291511,0.037421806161984074,4
plural_2,ceap_20,CEAP,1502,0.10612010742936816,0.03303192911335468,4
plural_2,ceap_20,CEAP,2000,0.07406909986443463,0.022478652258391647,4
plural_3,ceap_20,CEAP,10,1.0017230867000029,0.002755095865059467,4
plural_3,ceap_20,CEAP,507,0.08608941782672866,0.023908710731039538,4
plural_3,ceap_20,CEAP,1005,0.07550525939251038,0.009125330226992858,4
plural_3,ceap_20,CEAP,1502,0.054600616398505115,0.005714145728412597,4
plural_3,ceap_20,CEAP,2000,0.055155088216369524,0.010523882522390374,4
plural_4,ceap_20,CEAP,10,1.0138086210321,0.02475125043959218,4
plural_4,ceap_20,CEAP,507,0.05681163892149925,0.02405585263884643,4
plural_4,ceap_20,CEAP,1005,0.049986058588211355,0.020350954299127758,4
plural_4,ceap_20,CEAP,1502,0.035218012418884496,0.0019217578536062892,4
plural_4,ceap_20,CEAP,2000,0.034108843167240804,0.012709186378066766,4
plural_5,ceap_20,CEAP,10,1.0,0.0,4
plural_5,ceap_20,CEAP,507,0.1829683335586673,0.03686279523159277,4
plural_5,ceap_20,CEAP,1005,0.16370256875479033,0.02791237631983152,4
plural_5,ceap_20,CEAP,1502,0.1355905501378907,0.03093878737422886,4
plural_5,ceap_20,CEAP,2000,0.10515278977534127,0.014529065173106056,4
plural_6,ceap_20,CEAP,10,1.0,0.0,4
plural_6,ceap_20,CEAP,507,0.05164156645974692,0.01386502833459537,4
plural_6,ceap_20,CEAP,1005,0.05028467567674085,0.019800842699757924,4
plural_6,ceap_20,CEAP,1502,0.0582676160131015,0.013090237542496894,4
plural_6,ceap_20,CEAP,2000,0.05739178492450246,0.01641143246382657,4
plural_7,ceap_20,CEAP,10,0.9429733348210685,0.04236769159160395,4
plural_7,ceap_20,CEAP,507,0.134685050489174,0.04158961597437658,4
plural_7,ceap_20,CEAP,1005,0.12314504843264344,0.030428009781775043,4
plural_7,ceap_20,CEAP,1502,0.10666142714520295,0.03320106601342474,4
plural_7,ceap_20,CEAP,2000,0.10062040092926176,0.03731802803408191,4
plural_8,ceap_20,CEAP,10,1.0,0.0,4
plural_8,ceap_20,CEAP,507,0.17450450951380264,0.011158947247148552,4
plural_8,ceap_20,CEAP,1005,0.09157329004933093,0.01109395279112636,4
plural_8,ceap_20,CEAP,1502,0.0986888100101948,0.016977324758485696,4
plural_8,ceap_20,CEAP,2000,0.07847077614427822,0.014084217175722455,4
plural_9,ceap_20,CEAP,10,1.0,0.0,4
plural_9,ceap_20,CEAP,507,0.21898319286046658,0.005506193564947879,4
plural_9,ceap_20,CEAP,1005,0.10390452775432639,0.00795729975172482,4
plural_9,ceap_20,CEAP,1502,0.10777255468006605,0.01308608568472033,4
plural_9,ceap_20,CEAP,2000,0.10658746778874506,0.02466775188700648,4
plural_10,ceap_20,CEAP,10,1.0049640978686512,0.0,1
plural_10,ceap_20,CEAP,507,0.04939115047454834,0.0,1
plural_10,ceap_20,CEAP,1005,0.06490331888198853,0.0,1
plural_10,ceap_20,CEAP,1502,0.00413203239440918,0.0,1
plural_10,ceap_20,CEAP,2000,0.0329359769821167,0.0,1
plural_11,ceap_20,CEAP,10,1.0,0.0,4
plural_11,ceap_20,CEAP,507,0.17962774634361267,0.11250670476206316,4
plural_11,ceap_20,CEAP,1005,0.1022452749311924,0.024507839004809746,4
plural_11,ceap_20,CEAP,1502,0.12404331937432289,0.052243843275040884,4
plural_11,ceap_20,CEAP,2000,0.12957265973091125,0.0919391338039368,4
plural_12,ceap_20,CEAP,10,1.0,0.0,4
plural_12,ceap_20,CEAP,507,0.2912838713464255,0.05343789623700897,4
plural_12,ceap_20,CEAP,1005,0.2574546963152153,0.047611769916390295,4
plural_12,ceap_20,CEAP,1502,0.2551723244180665,0.04322484563250025,4
plural_12,ceap_20,CEAP,2000,0.23691373769265314,0.053443213248053095,4
plural_13,ceap_20,CEAP,10,1.000228748216614,0.0003962035333160361,4
plural_13,ceap_20,CEAP,507,0.1848873992760976,0.0418561049435328,4
plural_13,ceap_20,CEAP,1005,0.20068947474161783,0.04545206557323393,4
plural_13,ceap_20,CEAP,1502,0.19347413753469786,0.05306573596449233,4
plural_13,ceap_20,CEAP,2000,0.17027066151301065,0.07663663158281732,4
plural_14,ceap_20,CEAP,10,1.0,0.0,4
plural_14,ceap_20,CEAP,507,0.18620045310498784,0.013330766111573947,4
plural_14,ceap_20,CEAP,1005,0.12999201066754415,0.02857543319204954,4
plural_14,ceap_20,CEAP,1502,0.09330771449130922,0.013840159538804723,4
plural_14,ceap_20,CEAP,2000,0.08255767657663451,0.02889156743652768,4
single_0,ceap_20,CEAP,10,1.0,0.0,4
single_0,ceap_20,CEAP,507,0.19885508135541693,0.01985621913129699,4
single_0,ceap_20,CEAP,1005,0.2148625995693688,0.06312489337077559,4
